City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;Black or African-American;189347
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;White;48414
Lynn;Massachusetts;34.8;44598;47861;92459;3093;29899;2.81;MA;White;50652
Tallahassee;Florida;26.2;89390;100504;189894;9575;16720;2.38;FL;American Indian and Alaska Native;1368
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;Hispanic or Latino;9433
Skokie;Illinois;43.4;31382;33437;64819;1066;27424;2.7800000000000002;IL;Black or African-American;4937
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;Asian;4205
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;American Indian and Alaska Native;20752
New York;New York;36.0;4081698;4468707;8550405;156961;3212500;2.68;NY;White;3835726
Simi Valley;California;39.0;63243;63523;126766;6063;23260;3.13;CA;Hispanic or Latino;34032
Winston-Salem;North Carolina;34.7;112520;128712;241232;14521;24302;2.47;NC;Black or African-American;87480
Rock Hill;South Carolina;34.5;33324;38243;71567;4755;2413;2.29;SC;Black or African-American;28204
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;White;111477
Modesto;California;35.2;104852;106405;211257;9855;39613;2.969999999999999;CA;Black or African-American;9869
Dallas;Texas;32.6;639019;661063;1300082;41026;326825;2.59;TX;Asian;47099
Springfield;Missouri;34.1;81057;85741;166798;12291;7765;2.12;MO;White;151686
Portland;Maine;40.3;31480;35392;66872;3666;9229;2.13;ME;Black or African-American;5750
Baldwin Park;California;35.8;38747;38309;77056;780;34322;4.13;CA;Hispanic or Latino;56282
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;Black or African-American;832
Hesperia;California;29.4;43588;49698;93286;3739;16667;3.52;CA;Asian;2131
East Los Angeles;California;32.6;60460;59206;119666;1101;49575;3.75;CA;Asian;1053
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;American Indian and Alaska Native;1752
Whittier;California;36.1;44397;43039;87436;2790;17145;3.11;CA;American Indian and Alaska Native;680
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;American Indian and Alaska Native;876
Eagan;Minnesota;36.8;31587;34701;66288;2699;8642;2.49;MN;White;52612
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;Asian;2662
Pine Hills;Florida;29.2;35344;40737;76081;2594;20735;3.3;FL;Black or African-American;57089
Huntington Beach;California;41.6;99967;101960;201927;10454;35368;2.67;CA;White;156071
Elizabeth;New Jersey;34.2;65896;63116;129012;1131;63413;3.18;NJ;Hispanic or Latino;86456
Carmel;Indiana;39.9;42928;46101;89029;2723;9645;2.71;IN;White;77178
Bakersfield;California;30.6;182154;191473;373627;12284;71575;3.23;CA;Hispanic or Latino;180241
Bellingham;Washington;30.7;41286;43857;85143;4703;8713;2.44;WA;Black or African-American;2325
Lansing;Michigan;31.4;54333;59777;114110;5327;8371;2.39;MI;White;75688
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;Black or African-American;11697
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;Hispanic or Latino;2639
Delray Beach;Florida;47.9;32219;34042;66261;4232;16639;2.35;FL;White;40980
Albany;New York;32.8;47627;50825;98452;3643;11948;2.08;NY;Asian;8090
New York;New York;36.0;4081698;4468707;8550405;156961;3212500;2.68;NY;Hispanic or Latino;2485125
Athens-Clarke County unified government;Georgia;26.5;57415;65148;122563;3953;12868;2.44;GA;Black or African-American;34583
Camarillo;California;40.8;31941;35682;67623;4384;9735;2.77;CA;Black or African-American;1219
Modesto;California;35.2;104852;106405;211257;9855;39613;2.969999999999999;CA;White;166618
West Palm Beach;Florida;39.6;49262;57520;106782;4917;30675;2.5300000000000002;FL;Black or African-American;39226
Paterson;New Jersey;34.0;70640;77117;147757;1694;49810;3.37;NJ;White;54885
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;Asian;14249
Seattle;Washington;35.5;345659;338784;684443;29364;119840;2.13;WA;Black or African-American;61974
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;White;73440
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.719999999999999;RI;American Indian and Alaska Native;4171
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;Asian;61918
Missoula;Montana;34.7;35002;36022;71024;4733;2771;2.15;MT;Black or African-American;1149
West Covina;California;39.8;51629;56860;108489;3800;37038;3.56;CA;Asian;32716
Suffolk;Virginia;38.2;43048;45113;88161;10114;2829;2.719999999999999;VA;Black or African-American;39107
Omaha;Nebraska;34.2;218789;225098;443887;24503;48263;2.47;NE;Black or African-American;64223
Troy;Michigan;43.3;42371;40905;83276;2975;21004;2.59;MI;American Indian and Alaska Native;1677
Newton;Massachusetts;42.3;41985;46824;88809;1814;21692;2.71;MA;Black or African-American;2925
El Paso;Texas;33.1;332797;348339;681136;47693;159709;3.03;TX;Asian;12370
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;White;66004
Riverview;Florida;32.2;44210;45536;89746;6943;12240;3.22;FL;American Indian and Alaska Native;726
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;White;67844
Renton;Washington;36.3;52779;47468;100247;5032;28962;2.5700000000000003;WA;Asian;22550
Hawthorne;California;33.7;43682;44762;88444;2123;32107;2.969999999999999;CA;American Indian and Alaska Native;906
Rancho Cordova;California;33.8;34844;36182;71026;4590;17020;2.86;CA;Asian;12653
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;White;58201
Clarksville;Tennessee;29.7;75029;74161;149190;20803;8211;2.64;TN;American Indian and Alaska Native;2338
Greensboro;North Carolina;35.5;132251;153093;285344;14011;26667;2.36;NC;Black or African-American;124108
Lynn;Massachusetts;34.8;44598;47861;92459;3093;29899;2.81;MA;Asian;9205
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;White;91201
Salinas;California;30.4;77765;79621;157386;4020;58693;3.719999999999999;CA;Asian;11227
Saint George;Utah;37.3;38732;41475;80207;4443;4824;2.81;UT;Hispanic or Latino;10829
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.719999999999999;FL;American Indian and Alaska Native;464
Ames;Iowa;23.0;33814;31238;65052;2265;8606;2.16;IA;White;56157
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Black or African-American;27434
Yuba City;California;34.5;33654;33290;66944;4706;18032;2.9;CA;Hispanic or Latino;20890
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;Black or African-American;6873
San Francisco;California;38.3;439752;425064;864816;26276;297199;2.37;CA;Black or African-American;53270
Oceanside;California;39.4;87482;88232;175714;18051;37492;2.719999999999999;CA;Hispanic or Latino;62100
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;American Indian and Alaska Native;718
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;American Indian and Alaska Native;251
Renton;Washington;36.3;52779;47468;100247;5032;28962;2.5700000000000003;WA;Hispanic or Latino;15392
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;Black or African-American;4675
Fayetteville;North Carolina;30.7;101051;100914;201965;28089;12863;2.5;NC;Black or African-American;90625
Iowa City;Iowa;25.5;37089;37138;74227;2047;9202;2.36;IA;Black or African-American;7219
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;American Indian and Alaska Native;609
Topeka;Kansas;37.1;60879;66378;127257;9608;6711;2.32;KS;Hispanic or Latino;18640
Glen Burnie;Maryland;36.5;33398;36461;69859;5298;6971;2.58;MD;White;49982
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;White;277862
Baltimore;Maryland;34.7;294027;327822;621849;29540;49857;2.51;MD;Hispanic or Latino;29953
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;Asian;9165
Lawrence;Massachusetts;30.8;37464;42776;80240;1190;29170;3.17;MA;White;40757
Tucson;Arizona;33.6;264893;266781;531674;38182;82220;2.45;AZ;White;404342
Miramar;Florida;36.6;66157;70958;137115;3077;57179;3.41;FL;Asian;12084
Plano;Texas;38.1;138565;145054;283619;11719;74030;2.65;TX;Hispanic or Latino;42959
Westminster;California;42.9;45538;46573;92111;3435;42227;3.27;CA;Hispanic or Latino;19111
Town 'n' Country;Florida;38.1;39410;39586;78996;4534;22135;2.61;FL;White;64441
Gastonia;North Carolina;36.9;35527;39023;74550;3537;5715;2.67;NC;Black or African-American;22179
Orlando;Florida;33.1;130940;139977;270917;12782;50558;2.42;FL;White;179121
Oshkosh;Wisconsin;33.0;32905;33652;66557;3809;2348;2.3;WI;Hispanic or Latino;1972
Simi Valley;California;39.0;63243;63523;126766;6063;23260;3.13;CA;American Indian and Alaska Native;2474
Skokie;Illinois;43.4;31382;33437;64819;1066;27424;2.7800000000000002;IL;Hispanic or Latino;6590
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;White;77525
Paterson;New Jersey;34.0;70640;77117;147757;1694;49810;3.37;NJ;Asian;9653
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;Hispanic or Latino;29647
Stockton;California;32.5;150976;154674;305650;12822;79583;3.16;CA;White;170878
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;American Indian and Alaska Native;10801
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;Hispanic or Latino;12236
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;Black or African-American;2217
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;White;174670
Toledo;Ohio;36.1;135455;144323;279778;15286;9257;2.29;OH;Asian;6850
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;White;150136
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;White;75429
Santa Maria;California;30.1;53320;51762;105082;2876;39192;3.83;CA;White;90403
Lexington-Fayette  county;Kentucky;34.4;154032;160456;314488;16661;28613;2.34;KY;White;249339
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;Black or African-American;15489
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Hispanic or Latino;3430
Deltona;Florida;39.9;44853;43621;88474;5664;7098;2.89;FL;American Indian and Alaska Native;651
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;Hispanic or Latino;15500
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;Asian;33384
El Cajon;California;32.7;54450;49238;103688;7103;31865;3.14;CA;Hispanic or Latino;31542
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;Asian;4689
Durham;North Carolina;33.2;121153;136445;257598;12528;38642;2.4;NC;White;127680
Pembroke Pines;Florida;40.3;77050;89574;166624;6849;62210;2.94;FL;American Indian and Alaska Native;1076
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;White;61869
Gainesville;Florida;26.0;60803;69330;130133;4788;15272;2.33;FL;White;87612
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;American Indian and Alaska Native;32243
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;Asian;8423
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;Asian;650
Sugar Land;Texas;42.1;43889;44240;88129;4377;31169;2.95;TX;Black or African-American;8993
Oshkosh;Wisconsin;33.0;32905;33652;66557;3809;2348;2.3;WI;White;60210
Yuba City;California;34.5;33654;33290;66944;4706;18032;2.9;CA;Black or African-American;1912
Framingham;Massachusetts;40.3;35442;35768;71210;2625;19070;2.49;MA;American Indian and Alaska Native;849
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;Hispanic or Latino;937607
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;Black or African-American;3176
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;White;48412
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;American Indian and Alaska Native;876
Fullerton;California;34.5;69549;71300;140849;5394;43404;2.969999999999999;CA;Asian;33937
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;American Indian and Alaska Native;1187
North Richland Hills;Texas;39.9;35257;33948;69205;5175;7854;2.64;TX;Black or African-American;5439
Carlsbad;California;42.1;55119;58347;113466;6031;17689;2.68;CA;Black or African-American;876
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;Hispanic or Latino;14661
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;White;688130
Yuba City;California;34.5;33654;33290;66944;4706;18032;2.9;CA;Asian;15065
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.719999999999999;FL;Asian;4581
New Rochelle;New York;40.6;38871;40967;79838;2780;26960;2.85;NY;American Indian and Alaska Native;645
Murrieta;California;35.3;49363;60453;109816;7242;19875;3.3;CA;White;77700
Cincinnati;Ohio;32.7;143654;154883;298537;13699;16896;2.08;OH;Black or African-American;133430
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;American Indian and Alaska Native;5796
East Los Angeles;California;32.6;60460;59206;119666;1101;49575;3.75;CA;American Indian and Alaska Native;778
Yuma;Arizona;33.4;48298;45847;94145;7182;19326;2.64;AZ;Black or African-American;3731
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;Asian;2819
Murrieta;California;35.3;49363;60453;109816;7242;19875;3.3;CA;Black or African-American;9259
Paradise;Nevada;37.2;122784;114162;236946;14112;66712;2.65;NV;American Indian and Alaska Native;4314
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;American Indian and Alaska Native;1040
Indianapolis;Indiana;34.1;410615;437808;848423;42186;72456;2.5300000000000002;IN;Asian;29307
Camden;New Jersey;27.9;36437;39694;76131;1425;11317;3.0;NJ;Asian;1686
Suffolk;Virginia;38.2;43048;45113;88161;10114;2829;2.719999999999999;VA;Asian;2248
Chula Vista;California;34.6;131485;134269;265754;12368;82710;3.32;CA;Black or African-American;15641
Nashua;New Hampshire;38.3;42926;45049;87975;5532;12693;2.46;NH;White;73977
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;Hispanic or Latino;40559
Odessa;Texas;31.2;61119;57861;118980;5509;15845;2.92;TX;Hispanic or Latino;63586
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;Hispanic or Latino;54214
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;Asian;13118
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;White;48797
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;White;154484
Jacksonville;Florida;35.7;419203;448828;868031;75432;85650;2.62;FL;American Indian and Alaska Native;8177
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;American Indian and Alaska Native;1366
Cicero;Illinois;28.5;43153;40714;83867;629;33801;3.89;IL;Hispanic or Latino;76425
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;Hispanic or Latino;9291
Savannah;Georgia;30.3;69389;76295;145684;9717;10355;2.5700000000000003;GA;Asian;5366
Glendale;Arizona;34.4;116795;123319;240114;13241;44133;2.89;AZ;American Indian and Alaska Native;4064
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;Asian;44849
Guaynabo;Puerto Rico;42.2;33066;37426;70492;;;;PR;American Indian and Alaska Native;589
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;Black or African-American;2914
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;American Indian and Alaska Native;2749
Davenport;Iowa;35.2;50123;52454;102577;7090;4065;2.39;IA;American Indian and Alaska Native;901
Thousand Oaks;California;44.8;65113;64216;129329;6323;25330;2.79;CA;White;108375
Tallahassee;Florida;26.2;89390;100504;189894;9575;16720;2.38;FL;Hispanic or Latino;13538
Norwalk;California;35.0;53125;54020;107145;3027;39396;3.88;CA;White;46998
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;American Indian and Alaska Native;2167
Manchester;New Hampshire;37.3;54845;55378;110223;5473;14506;2.4;NH;Hispanic or Latino;11962
Saint Charles;Missouri;34.9;32054;36747;68801;4371;5274;2.33;MO;White;58662
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;Hispanic or Latino;9197
Duluth;Minnesota;34.7;41271;44855;86126;5015;2258;2.25;MN;White;81720
Vista;California;29.3;50680;50204;100884;4957;23271;3.52;CA;Black or African-American;5164
Charleston;South Carolina;35.0;63956;71568;135524;9368;5767;2.4;SC;Asian;2773
New Bedford;Massachusetts;38.6;43793;51166;94959;4185;19024;2.39;MA;White;63938
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;Black or African-American;36393
New Braunfels;Texas;37.0;33071;36852;69923;5204;5405;2.85;TX;Asian;1610
Highlands Ranch;Colorado;39.6;49186;53281;102467;4840;8827;2.719999999999999;CO;Asian;5650
Plantation;Florida;40.6;42881;49674;92555;4037;27902;2.73;FL;Hispanic or Latino;26401
Overland Park;Kansas;38.2;93355;93156;186511;10461;21407;2.41;KS;Black or African-American;10685
Amarillo;Texas;33.8;99391;100260;199651;11008;21124;2.64;TX;Asian;8563
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;Asian;7108
Missouri City;Texas;37.2;34932;36846;71778;4274;18556;3.03;TX;Black or African-American;28070
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;White;43019
New Rochelle;New York;40.6;38871;40967;79838;2780;26960;2.85;NY;Black or African-American;17723
Hartford;Connecticut;31.0;58042;65972;124014;3130;28467;2.59;CT;American Indian and Alaska Native;2451
Dallas;Texas;32.6;639019;661063;1300082;41026;326825;2.59;TX;American Indian and Alaska Native;17510
Tracy;California;35.5;43156;43937;87093;3025;25410;3.42;CA;Asian;16856
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;Black or African-American;1201
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;White;64138
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;American Indian and Alaska Native;1540
Lake Charles;Louisiana;31.8;35678;40388;76066;4477;3215;2.36;LA;American Indian and Alaska Native;592
Centreville;Virginia;36.0;34749;37033;71782;3779;27797;2.969999999999999;VA;Black or African-American;6724
San Clemente;California;45.2;34076;31456;65532;3970;8109;2.64;CA;Black or African-American;251
Erie;Pennsylvania;35.3;48618;50852;99470;7093;6275;2.31;PA;American Indian and Alaska Native;913
Delray Beach;Florida;47.9;32219;34042;66261;4232;16639;2.35;FL;Asian;1696
Marysville;Washington;33.2;33436;33337;66773;5714;7721;2.79;WA;White;58894
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;White;72728
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;American Indian and Alaska Native;1359
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;White;28775
Yuma;Arizona;33.4;48298;45847;94145;7182;19326;2.64;AZ;White;69691
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;Hispanic or Latino;40111
Yakima;Washington;34.0;45147;48553;93700;4705;15717;2.74;WA;American Indian and Alaska Native;2042
Glendale;California;42.1;98181;102844;201025;4448;111510;2.69;CA;Asian;42070
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;Black or African-American;89996
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;Black or African-American;725
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;White;78029
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;Hispanic or Latino;113829
Long Beach;California;34.6;238159;236013;474172;17463;127764;2.7800000000000002;CA;Hispanic or Latino;207890
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;American Indian and Alaska Native;2197
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;Black or African-American;901
Visalia;California;32.6;63695;66399;130094;5547;20779;3.11;CA;Hispanic or Latino;63482
Vancouver;Washington;37.2;82958;89895;172853;12391;21748;2.49;WA;White;149863
Cheektowaga;New York;40.7;37476;38599;76075;5408;3532;2.3;NY;Black or African-American;10562
Gulfport;Mississippi;35.1;33108;38764;71872;6646;3072;2.54;MS;Hispanic or Latino;4247
Broken Arrow;Oklahoma;36.8;52136;55459;107595;6797;6845;2.77;OK;Asian;4206
Stamford;Connecticut;35.4;64941;63936;128877;2269;44003;2.7;CT;Black or African-American;24329
Franklin;Tennessee;38.3;34991;37644;72635;3303;6876;2.73;TN;Asian;3911
Thornton;Colorado;33.1;65482;67977;133459;7261;17949;2.969999999999999;CO;American Indian and Alaska Native;2967
Dayton;Ohio;32.8;66631;73966;140597;8465;7381;2.26;OH;Hispanic or Latino;4945
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;Hispanic or Latino;112078
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;Asian;3153
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;White;121904
Harlingen;Texas;30.1;32404;33365;65769;2761;10391;3.0;TX;White;61844
Concord;North Carolina;35.7;42732;44961;87693;4621;8847;2.719999999999999;NC;Black or African-American;19027
Seattle;Washington;35.5;345659;338784;684443;29364;119840;2.13;WA;Asian;121507
Cranston;Rhode Island;39.9;38365;42712;81077;4702;10631;2.56;RI;Hispanic or Latino;10418
Nashville;Tennessee;34.1;314231;340365;654596;27942;88193;2.39;TN;Black or African-American;188844
Upland;California;39.7;36226;40221;76447;2898;16552;2.77;CA;Asian;9182
Salem;Oregon;35.4;80839;83704;164543;9685;19668;2.69;OR;Asian;6076
Kirkland;Washington;40.8;42159;45108;87267;5156;18570;2.3;WA;American Indian and Alaska Native;1155
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;White;40458
Casas Adobes;Arizona;44.8;30890;34375;65265;6601;7024;2.24;AZ;White;58956
Troy;Michigan;43.3;42371;40905;83276;2975;21004;2.59;MI;White;56175
Indio;California;35.9;43803;43723;87526;3647;22538;3.08;CA;Hispanic or Latino;58852
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;Black or African-American;3506
Evansville;Indiana;38.0;57198;60481;117679;9063;3169;2.25;IN;Hispanic or Latino;3263
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;Asian;24055
Merced;California;29.7;40048;42392;82440;3723;16348;3.15;CA;American Indian and Alaska Native;2331
Grand Rapids;Michigan;32.1;95669;99430;195099;8972;19176;2.56;MI;American Indian and Alaska Native;3436
Eugene;Oregon;33.4;79071;84377;163448;8896;14503;2.34;OR;White;146807
Stamford;Connecticut;35.4;64941;63936;128877;2269;44003;2.7;CT;White;85620
Ponce;Puerto Rico;40.5;56968;64615;121583;;;;PR;Hispanic or Latino;120705
Oxnard;California;31.0;101906;105346;207252;6367;78678;4.08;CA;Asian;18249
Edinburg;Texas;29.3;39422;45079;84501;2409;16569;3.31;TX;Asian;812
Palm Coast;Florida;48.8;39489;42632;82121;7950;9084;2.76;FL;American Indian and Alaska Native;700
League City;Texas;35.9;49354;48996;98350;6484;8361;2.719999999999999;TX;White;86012
Gresham;Oregon;36.7;53866;56716;110582;6326;17860;2.67;OR;White;94904
Salinas;California;30.4;77765;79621;157386;4020;58693;3.719999999999999;CA;American Indian and Alaska Native;2855
Marysville;Washington;33.2;33436;33337;66773;5714;7721;2.79;WA;Asian;6185
New York;New York;36.0;4081698;4468707;8550405;156961;3212500;2.68;NY;Asian;1304564
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;Hispanic or Latino;120610
Knoxville;Tennessee;33.1;89978;95334;185312;10897;10285;2.21;TN;Asian;4717
Pompano Beach;Florida;42.5;56569;51202;107771;5145;32733;2.55;FL;Asian;1089
Jackson;Tennessee;35.3;30007;36973;66980;3529;2097;2.52;TN;White;36037
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;White;163396
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;Asian;3615
Rancho Cucamonga;California;34.5;88127;87105;175232;5821;33878;3.18;CA;White;111832
Lincoln;Nebraska;32.3;138544;138802;277346;14694;22958;2.4;NE;Hispanic or Latino;20296
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;American Indian and Alaska Native;1112
Reno;Nevada;35.7;122292;119151;241443;17089;37070;2.46;NV;Asian;20681
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;American Indian and Alaska Native;5580
Pomona;California;32.1;74945;78307;153252;3251;53879;3.63;CA;White;94296
Pharr;Texas;26.9;35242;41293;76535;1376;25532;3.67;TX;Hispanic or Latino;72995
Whittier;California;36.1;44397;43039;87436;2790;17145;3.11;CA;White;49388
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;White;80551
San Jose;California;36.5;518317;508602;1026919;27269;401493;3.13;CA;Black or African-American;41721
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;Hispanic or Latino;243190
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;American Indian and Alaska Native;707
New Orleans;Louisiana;35.9;185736;203881;389617;17388;21679;2.41;LA;Asian;13349
East Orange;New Jersey;35.5;29995;34967;64962;1870;15164;2.85;NJ;Asian;656
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;American Indian and Alaska Native;672
Pine Hills;Florida;29.2;35344;40737;76081;2594;20735;3.3;FL;Hispanic or Latino;10496
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;Asian;122721
Seattle;Washington;35.5;345659;338784;684443;29364;119840;2.13;WA;Hispanic or Latino;43060
Clearwater;Florida;47.0;55225;57754;112979;10631;17686;2.4;FL;Asian;2434
Amarillo;Texas;33.8;99391;100260;199651;11008;21124;2.64;TX;White;174214
Saint George;Utah;37.3;38732;41475;80207;4443;4824;2.81;UT;Black or African-American;1376
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;Black or African-American;3407
Clarksville;Tennessee;29.7;75029;74161;149190;20803;8211;2.64;TN;Black or African-American;39445
Sioux City;Iowa;34.3;38827;43949;82776;4093;7471;2.5700000000000003;IA;American Indian and Alaska Native;1956
Fall River;Massachusetts;39.3;43314;45456;88770;4143;14775;2.21;MA;Black or African-American;6389
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;Hispanic or Latino;23395
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Asian;48974
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;White;56866
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;White;17127
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;American Indian and Alaska Native;594
Naperville;Illinois;38.5;71365;75794;147159;4545;30399;2.76;IL;American Indian and Alaska Native;449
Reading;Pennsylvania;29.4;43668;44205;87873;2580;17043;2.95;PA;Hispanic or Latino;57032
Washington;District of Columbia;33.8;319705;352523;672228;25963;95117;2.24;DC;American Indian and Alaska Native;6130
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;Asian;7755
Homestead;Florida;31.4;31401;35099;66500;2287;24408;3.48;FL;Black or African-American;16705
Atascocita;Texas;32.8;37424;40816;78240;4416;8657;3.03;TX;Black or African-American;21491
